Class ID	Class Name
0A034000	CSceneFxColors
0A078000	CSceneFxMotionBlur
0A077000	CSceneFxDepthOfField
0A043000	CSceneFxStereoscopy
0A035000	CSceneFxSuperSample
0A03D000	CSceneFxToneMapping
0A041000	CSceneConfigVision
0A049000	CSceneMgrVehiclePhy
0A08C000	CSceneMgrTrafficPhy
0A087000	CSceneMgrBulletPhy
0A046000	
0A00C000	CSceneController
0A094000	CSceneAnimFileSkelBinding
0A013000	CSceneCloudSystem
0A02C000	CSceneMobilClouds
0A072000	CSceneFx
0A076000	CSceneFxCompo
11000000	CScriptSetting
0B000000	CSystemEngine
0B008000	CSystemFid
0B018000	CSystemData
0B009000	CSystemFids
0B003000	CSystemWindow
0B005000	CSystemConfig
0B00B000	CSystemFidsFolder
0B015000	CSystemPackDesc
0B014000	CSystemPackManager
0B00A000	CSystemFidFile
0B01A000	CSystemFidContainer
0B00E000	CSystemFidMemory
0B00C000	CSystemFidsDrive
0B007000	CNodSystem
0B001000	CSystemMouse
0B002000	CSystemKeyboard
0B013000	CSystemConfigDisplay
0B017000	CSystemNodWrapper
0B006000	CSystemMemoryMonitor
0C001000	CVisionViewport
0C012000	CVisionResourceFile
0C014000	CDx11Viewport
2E009000	CGameWaypointSpecialProperty
2E002000	CGameItemModel
2E006000	CGameObjectPhyModel
2E007000	CGameObjectVisModel
2E008000	CGameActionModel
2E00A000	CGameActionFxResources
2E00D000	CGameArmorModel
2E00B000	CGameGateModel
2E00C000	CGameTeleporterModel
2E012000	CGameModuleModel
2E013000	CGameModuleScoresTableColumn
2E010000	CGameTurbineModel
2E00F000	CGameCaptureZoneModel
2E020000	CGameItemPlacementParam
2E00E000	CGameSpawnModel
2E001000	CGameCtnCollector
03000000	CGameEngine
03005000	CGameApp
0309A000	CGameControlCard
0304A000	CGameCtnMediaBlockEditorTriangles
030D3000	CGameCtnApp
0302D000	CGameResources
0303B000	CGameCtnDecorationSize
03038000	CGameCtnDecoration
03033000	CGameCtnCollection
0306B000	CGameControlCamera
0306D000	CGameControlCameraFree
03072000	CGameControlCameraTarget
0306E000	CGameControlCameraOrbital3d
03041000	CGameControlCameraFirstPerson
03042000	CGameControlCameraThirdPerson
0303F000	CGameGhost
0305F000	CGameSkinnedNod
0308E000	CGameLeague
03009000	CGameMenu
0300B000	CGameMenuFrame
03019000	CGameMenuColorEffect
03032000	CGameMenuScaleEffect
03067000	CGameNetFormAdmin
0300A000	CGameNetFormPlaygroundSync
03069000	CGameNetFormTimeSync
0302F000	CGameNetForm
0306A000	CGameNetFormCallVote
03010000	CGameNetFormTunnel
030EC000	CGameNetFormBuddy
030F5000	CGameNetFormPlayground
0324C000	CGameNetFormVoiceChat
0303D000	CGameAdvertising
0301B000	CGameCtnCollectorList
03035000	CGameVskObjectInfo
03036000	CGameCtnBlockUnitInfo
03039000	CGameCtnDecorationAudio
0303A000	CGameCtnDecorationMood
0303C000	CGameCtnDecorationTerrainModifier
03043000	CGameCtnChallenge
0308F000	CGameCtnChallengeGroup
03090000	CGameCtnCampaign
03046000	CGameCtnParticleParam
0315C000	CGameCtnBlockInfoVariantGround
0315D000	CGameCtnBlockInfoVariantAir
0304F000	CGameCtnBlockInfoFlat
03050000	CGameCtnBlockInfoFrontier
0314C000	CGameCtnBlockInfoTransition
03051000	CGameCtnBlockInfoClassic
03052000	CGameCtnBlockInfoRoad
03053000	CGameCtnBlockInfoClip
03054000	CGameCtnBlockInfoSlope
03055000	CGameCtnBlockInfoPylon
03056000	CGameCtnBlockInfoRectAsym
03057000	CGameCtnBlock
03058000	CGameCtnBlockUnit
03059000	CGameCtnBlockSkin
03192000	CGameCtnBlockInfoMobilLink
0305A000	CGameCtnPylonColumn
0305B000	CGameCtnChallengeParameters
0305C000	CGameCtnZone
0305D000	CGameCtnZoneFlat
0305E000	CGameCtnZoneFrontier
0311D000	CGameCtnZoneGenealogy
03151000	CGameCtnZoneFusionInfo
0314D000	CGameCtnZoneTransition
03048000	CGameCtnPainterSetting
03125000	CGameControlCameraEditorOrbital
030CB000	CGameCtnNetForm
03092000	CGameCtnGhost
03188000	CGameCtnMediaBlockScenery
03093000	CGameCtnReplayRecord
03168000	CGamePodiumInfo
03078000	CGameCtnMediaTrack
03060000	CGameCtnMediaShootParams
03079000	CGameCtnMediaClip
0307A000	CGameCtnMediaClipGroup
0307D000	CGameCtnMediaBlockUi
03080000	CGameCtnMediaBlockFxColors
03081000	CGameCtnMediaBlockFxBlurDepth
03082000	CGameCtnMediaBlockFxBlurMotion
03083000	CGameCtnMediaBlockFxBloom
03139000	CGameCtnMediaBlockFxCameraMap
0316D000	CGameCtnMediaBlockFxCameraBlend
03084000	CGameCtnMediaBlockCameraGame
03085000	CGameCtnMediaBlockTime
0309F000	CGameCtnMediaBlockCameraSimple
030A0000	CGameCtnMediaBlockCameraOrbital
030A1000	CGameCtnMediaBlockCameraPath
030A2000	CGameCtnMediaBlockCameraCustom
030A4000	CGameCtnMediaBlockCameraEffectShake
030A5000	CGameCtnMediaBlockImage
030A6000	CGameCtnMediaBlockMusicEffect
030A7000	CGameCtnMediaBlockSound
030A8000	CGameCtnMediaBlockText
030A9000	CGameCtnMediaBlockTrails
03186000	CGameCtnMediaBlockColorGrading
0316C000	CGameCtnMediaBlockColoringCapturable
03172000	CGameCtnMediaBlockColoringBase
030AB000	CGameCtnMediaBlockTransitionFade
030E5000	CGameCtnMediaBlockGhost
03024000	CGameCtnMediaBlock3dStereo
0304B000	CGameCtnMediaBlockTriangles2D
0304C000	CGameCtnMediaBlockTriangles3D
03126000	CGameCtnMediaBlockDOF
03127000	CGameCtnMediaBlockToneMapping
03128000	CGameCtnMediaBlockBloomHdr
03129000	CGameCtnMediaBlockTimeSpeed
0312A000	CGameCtnMediaBlockManialink
03195000	CGameCtnMediaBlockInterface
03199000	CGameCtnMediaBlockFog
03196000	CGameCtnMediaBlockObject
031A8000	CGameReplayObjectVisData
03133000	CGameCtnMediaBlockVehicleLight
03145000	CGameCtnMediaBlockShoot
0314A000	CGameCtnMediaBlockSkel
03161000	CGameCtnMediaBlockCameraEffectScript
03165000	CGameCtnMediaBlockDirtyLens
03166000	CGameCtnMediaBlockCameraEffectInertialTracking
03169000	CGameCtnMediaBlockBulletFx_Deprecated
0316A000	CGameCtnMediaBlockCharVis_Deprecated
031AA000	CGameCtnMediaBlockDecal2d
03130000	CGamePlayerProfileChunk_VehiclesSettings
031AB000	CGameCtnMediaBlockEditorDecal2d
030B4000	CGameCtnEdControlCamCustom
030B5000	CGameCtnEdControlCamPath
030EA000	CGameCampaignPlayerScores
03063000	CGameCampaignScores
03061000	CGameCampaignsScoresManager
03064000	CGameChallengeScores
03065000	CGameGeneralScores
03095000	CGamePlayerOfficialScores
03062000	CGameSkillScoreComputer
030EE000	CGameLadderScores
03049000	CGameLeagueManager
03140000	CGamePlayerProfileChunk_PackagesInfos
03148000	CGamePlayerProfileChunk_ChallengesStats
03147000	CGamePlayerProfileChunk_GameStats
0308C000	CGamePlayerProfile
0312C000	CGamePlayerProfileChunk_AccountSettings
03132000	CGamePlayerProfileChunk_Campaign
03131000	CGamePlayerProfileChunk_Challenge
03149000	CGamePlayerProfileChunk_ChallengesScores
0312D000	CGamePlayerProfileChunk_GameSettings
03146000	CGamePlayerProfileChunk_GameScores
0312F000	CGamePlayerProfileChunk_InputBindingsConfig
0312E000	CGamePlayerProfileChunk_InterfaceSettings
03163000	CGamePlayerProfileChunk_EditorSettings
03170000	CGamePlayerProfileChunk_ScriptPersistentTraits
0315E000	CGameTeamProfile
03028000	CGameNetOnlineMessage
0309C000	CGameControlDataType
030B9000	CGameControlGrid
030DE000	CGameControlGridCtnCampaign
030DF000	CGameControlGridCtnChallengeGroup
030BA000	CGameControlGridCard
0309B000	CGameControlCardManager
03152000	CGameControlCardBuddy
030C8000	CGameControlCardCtnReplayRecordInfo
030D5000	CGameControlCardCtnArticle
030D6000	CGameControlCardCtnCampaign
030D8000	CGameControlCardCtnChapter
030D9000	CGameControlCardCtnGhost
030DA000	CGameControlCardCtnGhostInfo
030DD000	CGameControlCardCtnVehicle
030BC000	CGameControlCardCtnChallengeInfo
030BF000	CGameControlCardCtnNetServerInfo
030C0000	CGameControlCardNetOnlineNews
030DB000	CGameControlCardNetOnlineEvent
030DC000	CGameControlCardNetTeamInfo
030C5000	CGameControlCardCalendar
030C6000	CGameControlCardCalendarEvent
030BD000	CGameControlCardGeneric
030BE000	CGameControlCardLeague
030C1000	CGameControlCardLadderRanking
030C2000	CGameControlCardMessage
030C7000	CGameControlCardProfile
030F3000	CGamePlaygroundControlScores
03136000	CGamePlaygroundControlSmPlayers
03137000	CGamePlaygroundControlMessages
030F1000	CGameControlFrameInventory
030F2000	CGameControlFrameInventoryManager
03101000	CGameCtnAnchoredObject
03107000	CGameCardEventInfo
03134000	CGameCardEventListInfo
0310D000	CGameCtnMacroBlockInfo
03114000	CGameCtnMacroDecals
03156000	CGameCtnMacroBlockJunction
0311C000	CGameCtnPrecalcPartParams
03120000	CGameCtnAutoTerrain
03122000	CGameCtnBlockInfoMobil
03001000	CGameManiaTitle
03013000	CGameManiaPlanet
0316F000	CGameCoverFlowDesc
031B7000	CGameUserFileList
031CC000	CGameUserProfile
031D6000	CGameBadgeStickerSlots
031ED000	CGameScoreComputer_MultiAsyncLevel
0301E000	CGameCtnCatalog
0301D000	CGameCtnChapter
03027000	CGameAvatar
0300C000	CGameSystemOverlay
03066000	CGameManialinkBrowser
030EB000	CGameLoadProgress
0300E000	CGameNetPlayerInfo
0300F000	CGameNetwork
0317B000	CGameScriptBuddiesManager
0308D000	CGameScriptDebugger
031B2000	CGameScriptNotificationsConsumer
031B1000	CGameScriptNotificationsProducer
031C3000	CGameAchievementScriptManager
03141000	CGameAnticheat
03030000	CGameDialogs
030F0000	CGameManialinkScriptHandler
03160000	CGameCtnEditorPlugin
03006000	CGameMasterServer
030D2000	CGameCtnNetwork
03034000	CGameCtnMediaBlockEditor
03029000	CGameCtnMediaBlockTriangles
03018000	CGameScene
0301F000	CGameCtnArticle
03044000	CGameCtnChallengeInfo
031A1000	CGameEditorBase
0308A000	CGamePlayerInfo
03157000	CGameActionMaker
0319B000	CGameEditorItem
0322F000	CGameEditorVehicle
031C0000	CGameEditorModule
0322B000	CGameAnimClipNod
0317A000	CGameAnimSet
0322A000	CGameEditorAnimSet
030AD000	CGameCtnMediaClipViewer
030E7000	CGameDialogShootParams
0311F000	CGameOfficialRecord
0319F000	CGameEditorManialink
03230000	CGameEditorParent
03123000	CGameCtnEditorBlockSolid
030FC000	CGameYoutube
031D0000	CGameEditorBadge
030C9000	CGameCtnMenus
0310E000	CGameCtnEditorCommon
03094000	CGameCtnReplayRecordInfo
0312B000	CGamePlayerProfileChunk
030B8000	CGameCtnPainter
0314E000	CGameMenuSkinChooser
0311E000	CGameOfficialRecorder
030F7000	CGameSwitcher
03162000	CGameCtnChallengeScript
031EA000	CGameCampaignScoreManager
031EB000	CGameCampaignScoreManager_MapTime
031EC000	CGameCampaignScoreManager_MultiAsyncLevel
031EE000	CGameMultiplayerScoreManager
031EF000	CGameGlobalScoreManager
031DB000	CGameUserManagerScript
030E2000	CGamePlaygroundInterface
031B9000	CGameMasterServerOnlineSignalsManager
031E9000	CGameScoreAndLeaderBoardManager
030D1000	CGameCtnMasterServer
031E4000	CGameHapticDevice
030AF000	CGameCtnEditor
03077000	CGameCtnMediaBlock
03023000	CGameCamera
03089000	CGameManiaNetResource
03022000	CGameNetOnlineNews
0304D000	CGameNetOnlineNewsReply
03076000	CGameLadderRanking
03138000	CGamePlaygroundScript
031BD000	CGameVideoScriptManager
0300D000	CGamePlayground
0317F000	CGameManialink3dWorld
03181000	CGameManialink3dStyle
0315B000	CGameCtnBlockInfoVariant
0304E000	CGameCtnBlockInfo
03008000	CGameNod
0303E000	CGameAdvertisingElement
0310C000	CGameCtnAnchorPoint
0316E000	CGameCtnChallengeTrafficElemDesc
03007000	CGameMobil
03088000	CGameHud3d
03002000	CGamePlayer
0325E000	CGameCtnMediaBlockCheatEmptyCars
0307E000	CGameCtnMediaBlockFx
0307F000	CGameCtnMediaBlockFxBlur
0307C000	CGameCtnMediaBlockCamera
0308B000	CGamePlayerCameraSet
030A3000	CGameCtnMediaBlockCameraEffect
03040000	CGameControlCameraMaster
03071000	CGameControlCameraEffectShake
0306F000	CGameControlCameraEffect
030AA000	CGameCtnMediaBlockTransition
03105000	CGameManialinkPage
0318A000	CGameMgrObjectVis
030B3000	CGameCtnEdControlCam
03086000	CGameCtnMediaClipPlayer
03047000	CGameHighScore
03233000	CGameCtnMasterServerTask_GetLeagues
03171000	CGamePlayerProfileCompatibilityChunk
03153000	CGameBuddy
03180000	CGamePlayerProfileChunk_ManiaPlanetStations
03179000	CGamePlayerProfileChunk_GlobalInterfaceSettings
03026000	CGameMasterServerRequest
0302B000	CGameRemoteBufferPool
0302A000	CGameRemoteBuffer
